Time,Media file path,Total length,FPS,Subject,Behavior,Comment,Status,
8.440,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,1,w,,,POINT
16.280,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,2,w,,,POINT
26.120,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,1,w,,,POINT
36.200,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,2,w,,,POINT
105.480,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,3,w,,,POINT
119.960,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,3,w,,,POINT
179.720,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,5,w,,,POINT
183.880,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,4,w,,,POINT
199.400,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,5,w,,,POINT
201.400,C:/Users/Administrator/Desktop/iiser-tvm/IISER_BSB/20181217/00942.MTS,291.200,25.0,4,w,,,POINT
